sample_id,query_id,incident_id,kind,source_layer,zero_hop,method,category,target,status,output_kind,lower_raw,upper_raw,point_raw,POISON_NOMINAL_RAW,physical_capacity_raw,asset,evidence_ids,unit,input_fact_hash,certification
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,POISON,addresses,T|ETH,COMPLETED,POISON_NOMINAL_RAW,,,,3,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,POISON,events,seed,COMPLETED,POISON_NOMINAL_RAW,,,,2,2,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,POISON,events,enter,COMPLETED,POISON_NOMINAL_RAW,,,,3,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,POISON,joint_by_asset,ETH,COMPLETED,POISON_NOMINAL_RAW,,,,3,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,HAIRCUT,addresses,T|ETH,COMPLETED,PROPORTIONAL_FEASIBLE_POINT,,,3/2,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,HAIRCUT,events,seed,COMPLETED,PROPORTIONAL_FEASIBLE_POINT,,,2,,2,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,HAIRCUT,events,enter,COMPLETED,PROPORTIONAL_FEASIBLE_POINT,,,3/2,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,HAIRCUT,joint_by_asset,ETH,COMPLETED,PROPORTIONAL_FEASIBLE_POINT,,,3/2,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,NO_CROSS_TARGET_COUPLING,addresses,T|ETH,COMPLETED,product_of_target_specific_copies,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,NO_CROSS_TARGET_COUPLING,events,enter,COMPLETED,product_of_target_specific_copies,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,NO_CROSS_TARGET_COUPLING,joint_by_asset,ETH,COMPLETED,product_of_target_specific_copies,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,NO_PROTOCOL_CONTINUATION,addresses,T|ETH,COMPLETED,feasible_interval,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,NO_PROTOCOL_CONTINUATION,events,enter,COMPLETED,feasible_interval,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
controlled-v1/normal_mixing/00,controlled-v1/normal_mixing/00,SYNTHETIC_CONTROLLED_V1,controlled,SYNTHETIC,False,NO_PROTOCOL_CONTINUATION,joint_by_asset,ETH,COMPLETED,feasible_interval,1,2,,,3,ETH,[],raw_by_asset_no_cross_asset_sum,5325617e15ee17d7cd111976cdc27c505fc66c39d85fa552e0c93aa2c0881c90,QUERY_ACCEPTED
